,price,price_per_metr,rooms,floor,location,title,url
0,,, • 1 pokój, • piętro 2,"Kraków, Podgórze Stare, ul. Rydlówka",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-rydlowka-38m2-mzn2042092365
1,,, • 3 pokoje, • piętro 3,"Kraków, Podgórze Stare, ul. Rydlówka",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-rydlowka-51m2-mzn2042319755
2,,, • 3 pokoje, • piętro 3/9,"Kraków, Mistrzejowice, ul. Piasta Kołodzieja",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-mistrzejowice-piasta-kolodzieja-45m2-mzn2042044072
3,,, • 3 pokoje, • piętro 3,"Kraków, Podgórze Stare, ul. Rydlówka",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-rydlowka-51m2-mzn2042092382
4,1709800.0,24489.0, • 3 pokoje, • piętro 1/3,"Kraków, Bronowice, Brązownicza 14",U Przybyszewskiego • Bezpośrednio • Wykończone • Bez PCC,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-bronowice-brazownicza-69m2-mzn2044051080
5,,, • 3 pokoje, • piętro 7/9,"Kraków, Mistrzejowice, ul. Piasta Kołodzieja",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-mistrzejowice-piasta-kolodzieja-61m2-mzn2043626400
6,,, • 3 pokoje, • piętro 4,"Kraków, Stare Miasto (historyczne), Stare Miasto, ul. Prandoty 10C",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-stare-miasto-prandoty-10c-53m2-mzn2043903370
7,,, • 3 pokoje, • piętro 5/5,"Kraków, Podgórze, Myśliwska 68",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-mysliwska-68-44m2-mzn2043447277
8,,, • 2 pokoje, • piętro 3,"Kraków, Prądnik Biały, Banacha, ul. Zauchy 6",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-zauchy-6-41m2-mzn2043641287
9,,, • 2 pokoje, • piętro 5,"Kraków, Podgórze Stare, ul. Rydlówka",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-rydlowka-35m2-mzn2042319798
10,,, • 2 pokoje, • piętro 6,"Kraków, Stare Miasto (historyczne), Stare Miasto, ul. Prandoty 10C",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-stare-miasto-prandoty-10c-36m2-mzn2043903388
11,,, • 2 pokoje, • piętro 3,"Kraków, Prądnik Biały, Banacha, ul. Zauchy 6",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-zauchy-6-40m2-mzn2043330586
12,,, • 2 pokoje, • piętro 4,"Kraków, Prądnik Biały, Banacha, ul. Zauchy 6",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-zauchy-6-38m2-mzn2043641201
13,,, • 3 pokoje, • piętro 2,"Kraków, Podgórze Duchackie, ul. Białoruska 69",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-duchackie-bialoruska-69-48m2-mzn2043961526
14,714000.0,17410.0, • 2 pokoje, • piętro 1/7,"Kraków, Prądnik Biały, Wybickiego 5B",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-wybickiego-5b-41m2-mzn2043781169
15,,, • 3 pokoje, • piętro 4/5,"Kraków, Podgórze, Myśliwska 68",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-mysliwska-68-44m2-mzn2043447287
16,,, • 2 pokoje, • piętro 4/7,"Kraków, Podgórze, Pana Tadeusza 10",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-pana-tadeusza-10-46m2-mzn2043922345
17,,, • 1 pokój, • piętro 3/3,"Kraków, Zabłocie, Zabłocie 20",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-zablocie-20-26m2-mzn2043735897
18,935200.0,23979.0, • 2 pokoje, • piętro 2/7,"Kraków, Podgórze, Zabłocie, Pana Tadeusza 10",Zabłocie • Bezpośrednio • Wykończone • Bez PCC,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-pana-tadeusza-39m2-mzn2044116950
19,575000.0,4590.0, • 4 pokoje, • piętro 5/5,"Kraków, Krowodrza, Śląska 2",Powierzchnia na poddaszu na ul. Śląskiej,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-krowodrza-slaska-125m2-mzn2043413697
20,990000.0,17402.0, • 2 pokoje, • piętro 1/4,"Kraków M., Kraków, Podgórze, Zabłocie, Przemysłowa",M2 Garden Residence,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-przemyslowa-56m2-mzn2043721345
21,575000.0,13194.0, • 2 pokoje, • piętro 4/4,"Kraków, Kraków-Nowa Huta, Osiedle Albertyńskie",Jedyne i niepowtarzalne,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-nowa-huta-osiedle-albertynskie-43m2-mzn2043994613
22,699000.0,12709.0, • 3 pokoje, • piętro 1/10,"Kraków M., Kraków, Podgórze Duchackie, Białoruska",3-pokojowe mieszkanie z oddzielną kuchnią,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-bialoruska-55m2-mzn2044079060
23,,, • 2 pokoje, • piętro 3/9,"Kraków, Mistrzejowice, ul. Piasta Kołodzieja",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-mistrzejowice-piasta-kolodzieja-36m2-mzn2043587147
24,1434000.0,15296.0, • 4 pokoje, • parter/6,"Kraków M., Kraków, Prądnik Czerwony, Prądnik Czerwony, Bohomolca","94m2, 4pok., taras, Serenada, wnet tramwaj! 2014r",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-czerwony-bohomolca-93m2-mzn2044117175
25,699000.0,16256.0, • 2 pokoje, • parter/5,"Kraków, Krowodrza, Łobzów, Lucjana Rydla 45a",Apartament z tarasem 35m2,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-krowodrza-lucjana-rydla-45a-43m2-mzn2041298298
26,,, • 2 pokoje, • piętro 4,"Kraków, Podgórze Stare, ul. Rydlówka",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-rydlowka-36m2-mzn2042319791
27,,, • 2 pokoje, • piętro 4/7,"Kraków, Podgórze, Pana Tadeusza 10",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-pana-tadeusza-10-45m2-mzn2043922346
