,price,price_per_metr,rooms,floor,location,title,Date_add,Date_update,Size (m2),url
0,1111619.0,14290.0, • 4 pokoje, • piętro 5/5,"Kraków, Prądnik Biały, Conrada 27",Opis nieruchomości,13.11.2023,15.07.2024,"77,79",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-conrada-27-77m2-mzn2042977754
1,,, • 2 pokoje, • piętro 6/9,"Kraków, Mistrzejowice, ul. Piasta Kołodzieja",Opis nieruchomości,01.12.2023,17.07.2024,"39,01",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-mistrzejowice-piasta-kolodzieja-39m2-mzn2042044084
2,,, • 2 pokoje, • piętro 4,"Kraków, Prądnik Biały, Banacha, ul. Zauchy 6",Opis nieruchomości,10.04.2024,17.07.2024,"38,87",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-zauchy-6-38m2-mzn2043641203
3,,, • 3 pokoje, • piętro 8/8,"Kraków, Podgórze Duchackie, ul. Bochenka",Opis nieruchomości,09.08.2023,04.07.2024,"68,59",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-duchackie-bochenka-68m2-mzn2042518277
4,,, • 3 pokoje, • piętro 3,"Kraków, Podgórze Stare, ul. Rydlówka",Opis nieruchomości,03.07.2023,17.07.2024,"51,73",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-rydlowka-51m2-mzn2042319755
5,,, • 3 pokoje, • piętro 3/9,"Kraków, Mistrzejowice, ul. Piasta Kołodzieja",Opis nieruchomości,01.12.2023,17.07.2024,"45,14",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-mistrzejowice-piasta-kolodzieja-45m2-mzn2042044072
6,1709800.0,24489.0, • 3 pokoje, • piętro 1/3,"Kraków, Bronowice, Brązownicza 14",U Przybyszewskiego • Bezpośrednio • Wykończone • Bez PCC,21.06.2024,15.07.2024,"69,82",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-bronowice-brazownicza-69m2-mzn2044051080
7,,, • 3 pokoje, • piętro 3,"Kraków, Podgórze Stare, ul. Rydlówka",Opis nieruchomości,16.05.2023,17.07.2024,"51,55",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-rydlowka-51m2-mzn2042092382
8,,, • 3 pokoje, • piętro 7/8,"Kraków, Podgórze Duchackie, ul. Bochenka",Opis nieruchomości,09.08.2023,04.07.2024,"68,58",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-duchackie-bochenka-68m2-mzn2042518271
9,,, • 3 pokoje, • piętro 4,"Kraków, Stare Miasto (historyczne), Stare Miasto, ul. Prandoty 10C",Opis nieruchomości,24.05.2024,17.07.2024,"53,08",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-stare-miasto-prandoty-10c-53m2-mzn2043903370
10,,, • 3 pokoje, • piętro 5/5,"Kraków, Podgórze, Myśliwska 68",Opis nieruchomości,05.03.2024,15.07.2024,"44,24",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-mysliwska-68-44m2-mzn2043447277
11,,, • 2 pokoje, • piętro 3,"Kraków, Prądnik Biały, Banacha, ul. Zauchy 6",Opis nieruchomości,10.04.2024,17.07.2024,"41,19",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-zauchy-6-41m2-mzn2043641287
12,,, • 4 pokoje, • piętro 1,"Kraków, Podgórze Stare, ul. Rydlówka",Opis nieruchomości,16.05.2023,17.07.2024,"56,08",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-rydlowka-56m2-mzn2042092202
13,,, • 3 pokoje, • piętro 2/9,"Kraków, Mistrzejowice, ul. Piasta Kołodzieja",Opis nieruchomości,01.12.2023,17.07.2024,"45,14",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-mistrzejowice-piasta-kolodzieja-45m2-mzn2042044066
14,,, • 3 pokoje, • piętro 7/9,"Kraków, Mistrzejowice, ul. Piasta Kołodzieja",Opis nieruchomości,04.04.2024,17.07.2024,"61,75",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-mistrzejowice-piasta-kolodzieja-61m2-mzn2043626400
15,639000.0,13453.0, • 1 pokój, • piętro 8/8,"Kraków, Krowodrza, Kraków, Rusznikarska 14","Piękne 47,5m2 na Rusznikarskiej - świeżo po remoncie",18.06.2024,18.06.2024,"47,50",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-krowodrza-rusznikarska-47m2-mzn2043031347
16,,, • 2 pokoje, • piętro 4/7,"Kraków, Podgórze, Pana Tadeusza 10",Opis nieruchomości,28.05.2024,15.07.2024,"46,36",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-pana-tadeusza-10-46m2-mzn2043922345
17,,, • 2 pokoje, • piętro 6,"Kraków, Stare Miasto (historyczne), Stare Miasto, ul. Prandoty 10C",Opis nieruchomości,24.05.2024,17.07.2024,"36,51",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-stare-miasto-prandoty-10c-36m2-mzn2043903388
18,,, • 2 pokoje, • piętro 4,"Kraków, Prądnik Biały, Banacha, ul. Zauchy 6",Opis nieruchomości,10.04.2024,17.07.2024,"38,80",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-zauchy-6-38m2-mzn2043641201
